Данные по сигналу Мгновенный расход ИЛ №1 (т/ч) (т/ч):,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Дата: с 21.12.2017 по 25.12.2018 23:59:59,,,,,,
Время,Значение,Качество,,,,
2018-01-05 06:00:00,438.1932067871094,Хорошее,,,,
2018-01-05 07:00:00,442.62774658203125,Хорошее,,,,
2018-01-05 08:00:00,442.68719482421875,Хорошее,,,,
2018-01-05 09:00:00,442.63482666015625,Хорошее,,,,
2018-01-05 10:00:00,442.5792236328125,Хорошее,,,,
2018-01-05 11:00:00,442.59124755859375,Хорошее,,,,
2018-01-05 12:00:00,442.6300354003906,Хорошее,,,,
2018-01-05 13:00:00,433.754150390625,Хорошее,,,,
2018-01-05 14:00:00,442.6190490722656,Хорошее,,,,
2018-01-05 15:00:00,433.72149658203125,Хорошее,,,,
2018-01-05 16:00:00,442.7196350097656,Хорошее,,,,
2018-01-05 17:00:00,442.7253112792969,Хорошее,,,,
2018-01-05 18:00:00,429.265625,Хорошее,,,,
2018-01-05 19:00:00,442.6260070800781,Хорошее,,,,
2018-01-05 20:00:00,442.7017822265625,Хорошее,,,,
2018-01-05 21:00:00,442.8116149902344,Хорошее,,,,
2018-01-05 22:00:00,442.87005615234375,Хорошее,,,,
2018-01-05 23:00:00,443.064208984375,Хорошее,,,,
2018-01-06 00:00:00,442.94757080078125,Хорошее,,,,
2018-01-06 01:00:00,442.91485595703125,Хорошее,,,,
2018-01-06 02:00:00,442.90228271484375,Хорошее,,,,
2018-01-06 03:00:00,438.3458557128906,Хорошее,,,,
2018-01-06 04:00:00,438.3998107910156,Хорошее,,,,
2018-01-06 05:00:00,438.3305358886719,Хорошее,,,,
2018-01-06 06:00:00,442.763671875,Хорошее,,,,
2018-01-06 07:00:00,442.68524169921875,Хорошее,,,,
2018-01-06 08:00:00,442.69525146484375,Хорошее,,,,
2018-01-06 09:00:00,442.67620849609375,Хорошее,,,,
2018-01-06 10:00:00,442.6874084472656,Хорошее,,,,
2018-01-06 11:00:00,442.77813720703125,Хорошее,,,,
2018-01-06 12:00:00,429.3870849609375,Хорошее,,,,
2018-01-06 13:00:00,429.40283203125,Хорошее,,,,
